[19:08:10] Jacqueline Immanuela | 14 -> 37
[19:08:11] Jacqueline Immanuela | 29 -> 32
[19:08:12] Jacqueline Immanuela | 6 -> 14
[19:34:32] Jacqueline Immanuela | 37 -> 14
[19:34:39] Jacqueline Immanuela | 32 -> 29
[19:34:39] Jacqueline Immanuela | 14 -> 6
[19:36:01] Jacqueline Immanuela | 14 -> 37
[19:36:02] Jacqueline Immanuela | 29 -> 32
[19:36:02] Jacqueline Immanuela | 6 -> 14
[19:36:54] Jacqueline Immanuela | 37 -> 14
[19:36:55] Jacqueline Immanuela | 32 -> 29
[19:36:56] Jacqueline Immanuela | 14 -> 6
[19:39:38] Jacqueline Immanuela | 14 -> 37
[19:39:40] Jacqueline Immanuela | 29 -> 32
[19:39:41] Jacqueline Immanuela | 6 -> 14
[19:41:06] Jacqueline Immanuela | 37 -> 14
[19:43:37] Jacqueline Immanuela | 32 -> 29
[19:43:39] Jacqueline Immanuela | 14 -> 6
[19:43:39] Jacqueline Immanuela | 14 -> 37
[19:45:05] Jacqueline Immanuela | 37 -> 14
[19:45:06] Jacqueline Immanuela | 29 -> 32
[19:45:07] Jacqueline Immanuela | 6 -> 14
[19:51:13] Jacqueline Immanuela | 32 -> 29
[19:51:15] Jacqueline Immanuela | 14 -> 6
[19:51:16] Jacqueline Immanuela | 14 -> 37
[19:52:14] Jacqueline Immanuela | 29 -> 32
[19:52:17] Jacqueline Immanuela | 6 -> 14
[19:52:42] Jacqueline Immanuela | 37 -> 14
[20:54:04] Astrella Virgiananda | 22 -> 36
[20:54:06] Bong Aprilli | 43 -> 40
[20:54:06] Hagia Sopia | 38 -> 44
[20:54:07] Mikaela Kusjanto | 33 -> 38
[20:54:07] Humaira Ramadhani | 44 -> 45
[20:54:13] Jacqueline Immanuela | 13 -> 37
[20:54:14] Aulia Riza | 43 -> 45
[20:54:15] Jemima Evodie | 13 -> 2
[20:54:15] Astrella Virgiananda | 24 -> 38
[20:54:18] Bong Aprilli | 40 -> 43
[20:54:18] Mikaela Kusjanto | 21 -> 36
[20:54:21] Jacqueline Immanuela | 29 -> 32
[20:54:22] Aulia Riza | 41 -> 45
[20:54:22] Jemima Evodie | 8 -> 19
[20:54:23] Astrella Virgiananda | 22 -> 20
[20:54:23] Bong Aprilli | 38 -> 42
[20:54:24] Hagia Sopia | 18 -> 33
[20:54:26] Mikaela Kusjanto | 3 -> 20
[20:54:26] Humaira Ramadhani | 42 -> 43
[20:54:27] Jacqueline Immanuela | 6 -> 14
[20:54:27] Aulia Riza | 30 -> 37
[21:03:32] Astrella Virgiananda | 22 -> 36
[21:03:33] Bong Aprilli | 43 -> 40
[21:03:33] Hagia Sopia | 38 -> 44
[21:03:34] Mikaela Kusjanto | 33 -> 38
[21:03:34] Humaira Ramadhani | 44 -> 45
[21:03:35] Jacqueline Immanuela | 13 -> 37
[21:03:35] Aulia Riza | 43 -> 45
[21:03:35] Jemima Evodie | 13 -> 2
[21:03:36] Astrella Virgiananda | 24 -> 38
[21:03:36] Bong Aprilli | 40 -> 43
[21:03:37] Mikaela Kusjanto | 21 -> 36
[21:03:37] Jacqueline Immanuela | 29 -> 32
[21:03:38] Aulia Riza | 41 -> 45
[21:03:38] Jemima Evodie | 8 -> 19
[21:03:39] Astrella Virgiananda | 22 -> 19
[21:03:39] Bong Aprilli | 38 -> 42
[21:03:40] Hagia Sopia | 18 -> 33
[21:03:40] Mikaela Kusjanto | 3 -> 20
[21:03:41] Humaira Ramadhani | 42 -> 43
[21:03:41] Jacqueline Immanuela | 6 -> 13
[21:03:41] Aulia Riza | 30 -> 37
[21:04:32] Astrella Virgiananda | 36 -> 22
[21:04:33] Bong Aprilli | 40 -> 43
[21:05:01] Jacqueline Immanuela | 37 -> 13
[21:05:02] Hagia Sopia | 44 -> 38
[21:05:02] Mikaela Kusjanto | 38 -> 33
[21:05:03] Jemima Evodie | 2 -> 13
[21:05:03] Aulia Riza | 45 -> 43
[21:05:04] Humaira Ramadhani | 45 -> 44
[21:05:04] Jacqueline Immanuela | 32 -> 29
[21:05:05] Mikaela Kusjanto | 36 -> 21
[21:05:05] Jemima Evodie | 19 -> 8
[21:05:06] Aulia Riza | 45 -> 41
[21:05:06] Astrella Virgiananda | 38 -> 24
[21:05:07] Bong Aprilli | 43 -> 40
[21:05:07] Jacqueline Immanuela | 13 -> 6
[21:05:07] Hagia Sopia | 33 -> 18
[21:05:08] Mikaela Kusjanto | 20 -> 3
[21:05:08] Aulia Riza | 37 -> 30
[21:05:09] Astrella Virgiananda | 19 -> 22
[21:05:09] Humaira Ramadhani | 43 -> 42
[21:05:10] Bong Aprilli | 42 -> 38
[21:06:30] Aulia Riza | 30 -> 36
